-6.988420e+01	5.581667e+02	1.130512e+02
-4.423560e+01	8.531667e+02	1.843664e+02
-2.344530e+01	1.391000e+03	2.608409e+02
0.000000e+00	2.571667e+03	4.663804e+02
2.470190e+01	1.634500e+03	4.082841e+02
4.943110e+01	1.817333e+03	4.233645e+02
7.511330e+01	1.800333e+03	4.595858e+02
9.731940e+01	1.933667e+03	5.301229e+02
1.210405e+02	2.253667e+03	4.668994e+02
1.472725e+02	2.039667e+03	4.419455e+02
1.682147e+02	2.097333e+03	4.472470e+02
1.910550e+02	2.287833e+03	4.520245e+02
2.171202e+02	1.928333e+03	4.095918e+02
2.408558e+02	2.136833e+03	4.002516e+02
2.711461e+02	1.899667e+03	3.547177e+02
2.990397e+02	2.203000e+03	6.361629e+02
3.379158e+02	2.827000e+03	8.914579e+02
3.605019e+02	2.587833e+03	1.245167e+03
3.849975e+02	3.269500e+03	1.686229e+03
4.089619e+02	4.136333e+03	2.224578e+03
4.331116e+02	4.639167e+03	2.417925e+03
4.561425e+02	5.447000e+03	2.741116e+03
4.822950e+02	6.842667e+03	3.382453e+03
5.056750e+02	7.144833e+03	2.816028e+03
5.282991e+02	8.854833e+03	3.900252e+03
5.522683e+02	9.819167e+03	4.114609e+03
5.763005e+02	1.019167e+04	4.331772e+03
6.002294e+02	1.184833e+04	5.249485e+03
6.252530e+02	1.224317e+04	4.918944e+03
6.478969e+02	1.231800e+04	5.314307e+03
6.826447e+02	1.327533e+04	5.240652e+03
6.956497e+02	1.290800e+04	4.866499e+03
7.196222e+02	1.282467e+04	5.296753e+03
